"","amostras","ano","ensaio","repeticao","peak_1","trough_1","breakdown","final_visc","setback","peak_time","pasting_temp","umidade_percent"
"1","2011-34-41",NA,"BR.FTBAG.20.Candeal","1",4796,1747,3049,2872,1125,4,72.7,15.48
"2","2011-34-41",NA,"BR.FTBAG.20.Candeal","2",4769,1655,3114,2805,1150,4,71.9,15.2
"3","2011-34-45","2018","BR.SM.17.UFRB","1",4374,1657,2717,2714,1057,4.1333333333,69.35,14.71
"4","2011-34-45","2018","BR.SM.17.UFRB","2",4405,1686,2719,2775,1089,4.1333333333,68.55,14.65
"5","2011-34-45","2020","BR.CET.20.Candeal","1",NA,NA,NA,NA,NA,NA,NA,13.01
"6","2011-34-45","2020","BR.CET.20.Candeal","2",NA,NA,NA,NA,NA,NA,NA,12.7
"7","2011-34-45","2021","BR.FTBAG.20.Candeal","1",NA,NA,NA,NA,NA,NA,NA,14.68
"8","2011-34-45","2021","BR.FTBAG.20.Candeal","2",NA,NA,NA,NA,NA,NA,NA,14.99
"9","2011-34-64","2021","BR.FTBAG.20.Candeal","1",NA,NA,NA,NA,NA,NA,NA,13.9
"10","2011-34-64","2021","BR.FTBAG.20.Candeal","2",NA,NA,NA,NA,NA,NA,NA,14.2
"11","2011-34-64","2022","BR.AYT.20.NH1","1",4962,2011,2951,3093,1082,3.5333333333,68.65,13.53
"12","2011-34-64","2022","BR.AYT.20.NH1","2",4883,2034,2849,3054,1020,3.6,68.6,13.72
"13","2019g-05-12","2021","BR.FTBAG.20.Candeal","1",3497,1328,2169,2249,921,3.9333333333,73.5,14.19
"14","2019g-05-12","2021","BR.FTBAG.20.Candeal","2",3579,1347,2232,2268,921,3.8666666667,72.75,14.06
"15","2019g-08-53","2021","BR.FTBAG.20.Candeal","1",3283,1245,2038,1846,601,4,72.6,12.73
"16","2019g-08-53","2021","BR.FTBAG.20.Candeal","2",3302,1265,2037,1893,628,4.0666666667,73.35,13.07
"17","2019g-08-58","2021","BR.FTBAG.20.Candeal","1",4189,1551,2638,2200,649,3.8666666667,69.3,13.33
"18","2019g-08-58","2021","BR.FTBAG.20.Candeal","2",4258,1485,2773,2188,703,3.8666666667,69.45,13.21
"19","2019g-08-63","2021","BR.FTBAG.20.Candeal","1",3624,1419,2205,2127,708,4.0666666667,71.05,14.8
"20","2019g-08-63","2021","BR.FTBAG.20.Candeal","2",3632,1417,2215,2108,691,4.1333333333,71.8,14.86
"21","2019g-08-67","2020","BR.CETBAGRec.19.UFRB","1",4326,1676,2650,2784,1108,3.8666666667,74.45,15.2
"22","2019g-08-67","2020","BR.CETBAGRec.19.UFRB","2",4334,1672,2662,2784,1112,3.8666666667,74.4,15.29
"23","7027-1",NA,NA,"1",3331,1437,1894,1968,531,2.9333333333,66.2,NA
"24","7027-1",NA,NA,"2",3350,1439,1911,1961,522,3.1333333333,66.3,NA
"25","7424-4",NA,NA,"1",3168,1436,1732,1966,530,3.4,64.5,NA
"26","7424-4",NA,NA,"2",3204,1480,1724,1990,510,3.4,65.25,NA
"27","7734-7WX","2011","BR.BAG1.PT.11.EA1","1",3106,1311.5,1794.5,1828.5,581,70.575,NA,NA
"28","7734-7WX","2011","BR.BAG1.PT.11.EA1","2",3107.5,1319.5,1788,1827,563,70.575,NA,NA
"29","7745-5WX","2011","BR.BAG1.PT.11.EA1","1",3128.5,1357,1771.5,1913,618,68.125,NA,NA
"30","7745-5WX","2011","BR.BAG1.PT.11.EA1","2",3070.5,1503.5,1567,1909.5,451.5,68.125,NA,NA
"31","7803-2",NA,NA,"1",3207,1424,1783,1995,571,3.4666666667,66,NA
"32","7803-2",NA,NA,"2",3236,1420,1816,2018,598,3.1333333333,66,NA
"33","7803-7",NA,NA,"1",3207,1424,1783,1995,571,3.4666666667,66,NA
"34","7803-7",NA,NA,"2",3236,1420,1816,2018,598,3.1333333333,66,NA
"35","7878-18",NA,NA,"1",3263,1433,1830,1953,520,3.3333333333,67.75,NA
"36","7878-18",NA,NA,"2",3173,1468,1705,1993,525,3.4666666667,66.95,NA
"37","9624-09","2011","BR.BAG1.PT.11.EA1","1",4988,1720.42857142857,3267.57142857143,2720,1012.42857142857,69.5428571428571,NA,NA
"38","9624-09","2011","BR.BAG1.PT.11.EA1","2",4987.5,1720.125,3267.375,2728.75,1024,69.5125,NA,NA
"39","Aipim Abacate","2020","BR.PYTGS.19.PP1","1",5503,2075,3428,3225,1150,3.6,69.35,13.19
"40","Aipim Abacate","2020","BR.PYTGS.19.PP1","2",5545,2116,3429,3212,1096,3.5333333333,69.5,13.14
"41","Aipim Brasil","2021","BR.CET.20.PP1","1",4227,1564,2663,2910,1346,3.8666666667,71.85,13.82
"42","Aipim Brasil","2021","BR.CET.20.PP1","2",4100,1613,2487,2909,1296,3.6666666667,71.85,13.66
"43","Aipim Brasilia","2020","BR.FTBAG.20.Candeal","1",NA,NA,NA,NA,NA,NA,NA,13.61
"44","Aipim Brasilia","2020","BR.FTBAG.20.Candeal","2",NA,NA,NA,NA,NA,NA,NA,14.22
"45","Aipim Brasilia","2021","BR.BAG.19.UFRB","1",5002,1774,3228,2648,874,3.8,71.05,14.69
"46","Aipim Brasilia","2021","BR.BAG.19.UFRB","2",5089,1781,3308,2622,841,3.8666666667,71.05,14.62
"47","Aipim Guanambi","2020","BR.BAG.19.UFRB","1",4086,1731,2355,2793,1062,4.1333333333,71.05,15.19
"48","Aipim Guanambi","2020","BR.BAG.19.UFRB","2",4254,1801,2453,2876,1075,4.2,71.15,15.48
"49","Aipim Manteiga","2020","BR.BAG.19.UFRB","1",4152,1747,2405,2942,1195,4.2,71.85,NA
"50","Aipim Manteiga","2020","BR.BAG.19.UFRB","2",4154,1737,2417,2863,1126,4.2666666667,71.8,NA
"51","Amarelo-SC","2011","BR.BAG1.PT.11.EA1","1",4165,1468,2697,2622,1154,71.1,NA,NA
"52","Amarelo-SC","2011","BR.BAG1.PT.11.EA1","2",4143,1409,2734,2531,1122,71.95,NA,NA
"53","Baianinha",NA,NA,"1",6647,2126,4521,3197,1071,3.2666666667,68.75,14.43
"54","Baianinha",NA,NA,"2",6706,2123,4583,3087,964,3.3333333333,68.65,14.19
"55","BGM-0018","2020","BR.BAG.19.UFRB","1",4336,1662,2674,2594,932,4.0666666667,70.2,14.58
"56","BGM-0018","2020","BR.BAG.19.UFRB","2",4324,1682,2642,2609,927,4,69.5,14.56
"57","BGM-0032",NA,NA,"1",4897,1827,3070,2572,745,3.7333333333,71.85,15.16
"58","BGM-0032",NA,NA,"2",4899,1826,3073,2596,770,3.7333333333,70.95,15.11
"59","BGM-0035",NA,NA,"1",4934,1721,3213,2317,596,3.8666666667,72.55,14.54
"60","BGM-0035",NA,NA,"2",4874,1693,3181,2298,605,3.8666666667,72.7,14.31
"61","BGM-0036",NA,NA,"1",4354,1431,2923,2208,777,4,71.05,16
"62","BGM-0036",NA,NA,"2",4245,1443,2802,2197,754,4.0666666667,71.9,16.08
"63","BGM-0048","2018","BR.CB.17.UFRB","1",5183,2012,3171,2981,969,3.9333333333,70.1,13.82
"64","BGM-0048","2018","BR.CB.17.UFRB","2",5144,1980,3164,2960,980,3.9333333333,70.15,13.65
"65","BGM-0061",NA,NA,"1",3543,1533,2010,2696,1163,4.4,72.55,12.62
"66","BGM-0061",NA,NA,"2",3574,1593,1981,2704,1111,4.4666666667,72.6,13.21
"67","BGM-0062","2020","BR.BAG.19.UFRB","1",4396,1717,2679,2817,1100,4.2,69.35,15.15
"68","BGM-0062","2020","BR.BAG.19.UFRB","2",4157,1625,2532,2687,1062,4.2666666667,69.4,15.02
"69","BGM-0069",NA,NA,"1",4047,1789,2258,3044,1255,3.8,71.1,14.81
"70","BGM-0069",NA,NA,"2",3981,1754,2227,3045,1291,3.7333333333,70.95,15.07
"71","BGM-0070","2020","BR.BAG.19.UFRB","1",4692,1882,2810,2748,866,4.0666666667,71.1,15.06
"72","BGM-0070","2020","BR.BAG.19.UFRB","2",4639,1883,2756,2789,906,4.1333333333,71.95,15.13
"73","BGM-0083","2020","BR.BAG.19.UFRB","1",5588,1941,3647,2617,676,3.9333333333,71.1,16.05
"74","BGM-0083","2020","BR.BAG.19.UFRB","2",5505,2073,3432,2698,625,3.8666666667,71.1,16.1
"75","BGM-0085",NA,NA,"1",4639,1613,3026,2347,734,3.8666666667,69.25,13
"76","BGM-0085",NA,NA,"2",4790,1590,3200,2369,779,3.8,69.35,13.33
"77","BGM-0093","2021","BR.FTBAG.20.Candeal","1",4190,1694,2496,2326,632,3.8,70.95,11.25
"78","BGM-0093","2021","BR.FTBAG.20.Candeal","2",4249,1692,2557,2370,678,3.8,71.8,11.12
"79","BGM-0120","2021","BR.FTBAG.20.Candeal","1",3627,1548,2079,2588,1040,4.1333333333,71.05,12.32
"80","BGM-0120","2021","BR.FTBAG.20.Candeal","2",3670,1564,2106,2547,983,4.2666666667,71.8,12.28
"81","BGM-0122","2021","BR.FTBAG.20.Candeal","1",3082,1400,1682,1883,483,4.5333333333,72.55,14.06
"82","BGM-0122","2021","BR.FTBAG.20.Candeal","2",3068,1386,1682,1919,533,4.5333333333,71.9,13.93
