amostras	ano	ensaio	repeticao	peak_1	trough_1	breakdown	final_visc	setback	peak_time	pasting_temp	umidade_percent
BR-11-34-41	2020	BR.FTBAG.20.Candeal	1	4796.00	1747.00	3049.00	2872.00	1125.00	4.00	72.70	15.48
BR-11-34-41	2020	BR.FTBAG.20.Candeal	2	4769.00	1655.00	3114.00	2805.00	1150.00	4.00	71.90	15.20
2011-34-45	2018	BR.SM.17.UFRB	1	4374.00	1657.00	2717.00	2714.00	1057.00	4.13	69.35	14.71
2011-34-45	2018	BR.SM.17.UFRB	2	4405.00	1686.00	2719.00	2775.00	1089.00	4.13	68.55	14.65
2011-34-45	2020	BR.CET.20.Candeal	1	NA	NA	NA	NA	NA	NA	NA	13.01
2011-34-45	2020	BR.CET.20.Candeal	2	NA	NA	NA	NA	NA	NA	NA	12.70
2011-34-45	2021	BR.FTBAG.20.Candeal	1	NA	NA	NA	NA	NA	NA	NA	14.68
2011-34-45	2021	BR.FTBAG.20.Candeal	2	NA	NA	NA	NA	NA	NA	NA	14.99
2011-34-64	2021	BR.FTBAG.20.Candeal	1	NA	NA	NA	NA	NA	NA	NA	13.90
2011-34-64	2021	BR.FTBAG.20.Candeal	2	NA	NA	NA	NA	NA	NA	NA	14.20
2011-34-64	2022	BR.AYT.20.NH1	1	4962.00	2011.00	2951.00	3093.00	1082.00	3.53	68.65	13.53
2011-34-64	2022	BR.AYT.20.NH1	2	4883.00	2034.00	2849.00	3054.00	1020.00	3.60	68.60	13.72
2019g-05-12	2021	BR.FTBAG.20.Candeal	1	3497.00	1328.00	2169.00	2249.00	921.00	3.93	73.50	14.19
2019g-05-12	2021	BR.FTBAG.20.Candeal	2	3579.00	1347.00	2232.00	2268.00	921.00	3.87	72.75	14.06
2019g-08-53	2021	BR.FTBAG.20.Candeal	1	3283.00	1245.00	2038.00	1846.00	601.00	4.00	72.60	12.73
2019g-08-53	2021	BR.FTBAG.20.Candeal	2	3302.00	1265.00	2037.00	1893.00	628.00	4.07	73.35	13.07
2019g-08-58	2021	BR.FTBAG.20.Candeal	1	4189.00	1551.00	2638.00	2200.00	649.00	3.87	69.30	13.33
2019g-08-58	2021	BR.FTBAG.20.Candeal	2	4258.00	1485.00	2773.00	2188.00	703.00	3.87	69.45	13.21
2019g-08-63	2021	BR.FTBAG.20.Candeal	1	3624.00	1419.00	2205.00	2127.00	708.00	4.07	71.05	14.80
2019g-08-63	2021	BR.FTBAG.20.Candeal	2	3632.00	1417.00	2215.00	2108.00	691.00	4.13	71.80	14.86
2019g-08-67	2020	BR.CETBAGRec.19.UFRB	1	4326.00	1676.00	2650.00	2784.00	1108.00	3.87	74.45	15.20
2019g-08-67	2020	BR.CETBAGRec.19.UFRB	2	4334.00	1672.00	2662.00	2784.00	1112.00	3.87	74.40	15.29
7027-1	2017	BR.PYT.17.CNPMF	1	3331.00	1437.00	1894.00	1968.00	531.00	2.93	66.20	NA
7027-1	2017	BR.PYT.17.CNPMF	2	3350.00	1439.00	1911.00	1961.00	522.00	3.13	66.30	NA
7424-4	2017	BR.PYT.17.CNPMF	1	3168.00	1436.00	1732.00	1966.00	530.00	3.40	64.50	NA
7424-4	2017	BR.PYT.17.CNPMF	2	3204.00	1480.00	1724.00	1990.00	510.00	3.40	65.25	NA
7734-7WX	2011	BR.BAG1.PT.11.EA1	1	3106.00	1311.50	1794.50	1828.50	581.00	70.58	NA	NA
7734-7WX	2011	BR.BAG1.PT.11.EA1	2	3107.50	1319.50	1788.00	1827.00	563.00	70.58	NA	NA
7745-5WX	2011	BR.BAG1.PT.11.EA1	1	3128.50	1357.00	1771.50	1913.00	618.00	68.13	NA	NA
7745-5WX	2011	BR.BAG1.PT.11.EA1	2	3070.50	1503.50	1567.00	1909.50	451.50	68.13	NA	NA
7803-2	2017	BR.PYT.17.CNPMF	1	3207.00	1424.00	1783.00	1995.00	571.00	3.47	66.00	NA
7803-2	2017	BR.PYT.17.CNPMF	2	3236.00	1420.00	1816.00	2018.00	598.00	3.13	66.00	NA
7803-7	2017	BR.PYT.17.CNPMF	1	3207.00	1424.00	1783.00	1995.00	571.00	3.47	66.00	NA
7803-7	2017	BR.PYT.17.CNPMF	2	3236.00	1420.00	1816.00	2018.00	598.00	3.13	66.00	NA
7878-18	2017	BR.PYT.17.CNPMF	1	3263.00	1433.00	1830.00	1953.00	520.00	3.33	67.75	NA
7878-18	2017	BR.PYT.17.CNPMF	2	3173.00	1468.00	1705.00	1993.00	525.00	3.47	66.95	NA
BGM-2123	2011	BR.BAG1.PT.11.EA1	1	4988.00	1720.43	3267.57	2720.00	1012.43	69.54	NA	NA
BGM-2123	2011	BR.BAG1.PT.11.EA1	2	4987.50	1720.13	3267.38	2728.75	1024.00	69.51	NA	NA
Aipim Abacate	2020	BR.PYTGS.19.PP1	1	5503.00	2075.00	3428.00	3225.00	1150.00	3.60	69.35	13.19
Aipim Abacate	2020	BR.PYTGS.19.PP1	2	5545.00	2116.00	3429.00	3212.00	1096.00	3.53	69.50	13.14
Aipim Brasil	2021	BR.CET.20.PP1	1	4227.00	1564.00	2663.00	2910.00	1346.00	3.87	71.85	13.82
Aipim Brasil	2021	BR.CET.20.PP1	2	4100.00	1613.00	2487.00	2909.00	1296.00	3.67	71.85	13.66
Aipim Brasilia	2020	BR.FTBAG.20.Candeal	1	NA	NA	NA	NA	NA	NA	NA	13.61
Aipim Brasilia	2020	BR.FTBAG.20.Candeal	2	NA	NA	NA	NA	NA	NA	NA	14.22
Aipim Brasilia	2021	BR.BAG.19.UFRB	1	5002.00	1774.00	3228.00	2648.00	874.00	3.80	71.05	14.69
Aipim Brasilia	2021	BR.BAG.19.UFRB	2	5089.00	1781.00	3308.00	2622.00	841.00	3.87	71.05	14.62
Aipim Guanambi	2020	BR.BAG.19.UFRB	1	4086.00	1731.00	2355.00	2793.00	1062.00	4.13	71.05	15.19
Aipim Guanambi	2020	BR.BAG.19.UFRB	2	4254.00	1801.00	2453.00	2876.00	1075.00	4.20	71.15	15.48
Aipim Manteiga	2020	BR.BAG.19.UFRB	1	4152.00	1747.00	2405.00	2942.00	1195.00	4.20	71.85	NA
Aipim Manteiga	2020	BR.BAG.19.UFRB	2	4154.00	1737.00	2417.00	2863.00	1126.00	4.27	71.80	NA
