"AMOSTRAS","Quadrante","Count","Area","Total_Area","%Area","Perimetro","Major_E","Minor_E","Angle","Circularidade","Solidity","Feret","FeretX","Feret y","FeretAngle","MinFeret"
"2019g-05-12","Q1","635","8.2944881889763771","52.67","81.59","76.790000000000006","27.87","9.4600000000000009","75.820999999999998","0.92300000000000004","0.88600000000000001","31.06","186.572","201.077","108.16200000000001","2.052"
"2019g-05-12","Q2","502","14.342629482071713","72","89.47","86.61","33.68","2.2090000000000001","54.86","0.93799999999999994","0.90700000000000003","38.14","103.392","98.266999999999996","111.794","2.3559999999999999"
"2019g-05-12","Q3","571","13.476357267950963","76.95","113.79","92.66","35.590000000000003","2.2489999999999997","58.991999999999997","0.92200000000000004","0.89700000000000002","40.32","109.151","100.57599999999999","112.361","2.4359999999999999"
"2019g-05-12","Q4","603","11.608623548922056","70","112.05","86.62","33.47","2.1510000000000002","57.362000000000002","0.56499999999999995","0.995","38.07","101.839","101.952","112.681","2.3290000000000002"
"2019g-08-53","Q1","465","12.313978494623656","57.26","67.739999999999995","78.88","28.1","2.0449999999999999","74.884","0.93799999999999994","0.89200000000000002","31.56","194.56800000000001","198.33099999999999","106.018","2.1749999999999998"
"2019g-08-53","Q2","523","9.7868833652007652","51.185400000000001","66.760000000000005","74.238","27.120100000000001","1.9753000000000001","71.078999999999994","0.94699999999999995","0.89500000000000002","30.189","191.03399999999999","202.71100000000001","106.20699999999999","2.0859999999999999"
"2019g-08-53","Q3","462","11.430735930735931","52.81","61.32","74.8","27.01","1.996","69.644000000000005","0.94599999999999995","0.89400000000000002","30.2","198.048","203.53700000000001","103.1","2.105"
"2019g-08-53","Q4","463","10.671706263498921","49.41","59.39","72.67","26.31","1.925","68.066999999999993","0.94699999999999995","0.89300000000000002","29.38","188.61799999999999","199.93700000000001","101.46","2.032"
"2019g-08-58","Q1","485","6.4612783505154638","31.337199999999999","84.86","26.577999999999996","96.1","6.9169999999999998","72.441000000000003","0.93","0.88800000000000001","10.612","203.26599999999999","200.959","99.263000000000005","7.3529999999999998"
"2019g-08-58","Q2","388","1.3062371134020618","50.682000000000002","52.78","37.164000000000001","13.666999999999998","9.9340000000000011","69.335999999999999","0.95199999999999996","0.89700000000000002","15.172999999999998","181.65199999999999","201.76499999999999","105.51300000000001","1.0441"
"2019g-08-58","Q3","364","12.989258241758241","47.280900000000003","50.09","35.833999999999996","12.975999999999999","9.9480000000000004","72.123000000000005","0.96099999999999997","0.9","14.438999999999998","206.91499999999999","199.30199999999999","104.935","1.0297000000000001"
"2019g-08-58","Q4","401","16.753416458852868","67.181200000000004","68.03","41.172000000000004","14.665000000000001","1.0503","65.16","0.93700000000000006","0.9","16.294999999999998","193.96299999999999","192.73099999999999","100.443","1.1140000000000001"
"2019g-08-63","Q1","387","55.862868217054263","21.618929999999999","58.54","23.904","86.27","6.39","63.96","0.95099999999999996","0.9","96.01","202.17099999999999","189.22","100.461","6.7050000000000001"
"2019g-08-63","Q2","550","15.767727272727273","86.722499999999997","90.31","40.700000000000003","14.349","1.0678000000000001","67.954999999999998","0.94099999999999995","0.89500000000000002","16.027999999999999","187.21299999999999","202.245","104.946","1.1292"
